Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
30.9,75.8,110,2006,29,62,-0.0426,12,5,553.9888433,-287.089,39.39245999,5.029379568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,30,0.0,1.0,0.0,1.0,4700.0
55.72,-118.68,91,1991,73,0,0.0287,5,9,399.473,-91.673,23.87368,4.13202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,2091.0
55.72,-118.68,91,1994,73,0,0.2326,5,9,403.232,-46.932,23.10267,3.78969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,2304.0
55.72,-118.68,91,1994,73,0,0.1498,5,9,403.232,-46.932,23.10267,3.78969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,2824.0
55.72,-118.68,91,1989,56,206,0.1354,5,9,395.063,57.837,22.77721,3.27449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,960.0
55.72,-118.68,91,1990,56,206,-0.1795,5,9,407.789,-117.689,23.99237,3.91459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1170.0
55.2,-119.38,117,1993,73,0,-0.094,5,9,360.521,2.279,19.63982,2.31763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,3457.0
55.2,-119.38,117,1994,73,0,-0.0709,5,9,381.367,36.433,22.28035,2.28527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,3089.0
55.2,-119.38,117,1995,73,0,-0.0171,5,9,380.641,-59.341,19.59802,3.13068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0,1.0,4494.0
59.9,17.0,117,2004,73,27,-0.1,5,9,312.565,4.835,20.7831,4.52367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,6940.0
59.9,17.0,117,2007,73,27,-0.04,5,9,305.349,-47.949,21.01425,5.29742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8500.0
59.81,17.66,91,2007,73,27,-0.04,5,9,302.808,-60.408,21.57994,5.50431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,6970.0
59.9,17.0,117,2004,123,27,-0.5801,10,6,265.394,186.406,17.9991,-8.99913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,6070.0
59.81,17.66,91,2004,123,27,-0.48,10,6,263.033,191.167,18.32103,-9.08629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3650.0
30.9,75.8,105,2006,98,0,0.0758,7,11,446.7680882,-45.268,35.09450211,13.0708079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1503.0
